running 1476 tests
test analysis_cache::tests::default_dir_path ... ok
test array_mutation::tests::batch_with_non_array_returns_empty ... ok
test array_mutation::tests::batch_produces_requested_count ... ok
test array_mutation::tests::delete_decreases_length_by_one ... ok
test array_mutation::tests::mutate_returns_none_for_non_array ... ok
test array_mutation::tests::insert_increases_length_by_one ... ok
test array_mutation::tests::all_mutation_kinds_exercised_over_many_trials ... ok
test array_mutation::tests::mutate_empty_array_always_inserts ... ok
test array_mutation::tests::mutations_with_complex_element_type ... ok
test array_mutation::tests::splice_modifies_contiguous_section ... ok
test array_mutation::tests::replace_preserves_length ... ok
test array_mutation::tests::single_element_array_never_swaps_or_splices ... ok
test array_mutation::tests::swap_preserves_length_and_elements ... ok
test array_mutation::tests::truncate_reduces_length ... ok
test auto_mock::tests::auto_mock_configs_serialize_for_protocol ... ok
test auto_mock::tests::classify_database_modules ... ok
test auto_mock::tests::auto_mock_pipeline_mixed_dependencies ... ok
test auto_mock::tests::classify_fs_modules ... ok
test auto_mock::tests::auto_mock_pipeline_with_scope_rules ... ok
test auto_mock::tests::classify_network_modules ... ok
test auto_mock::tests::classify_pure_utility_modules ... ok
test auto_mock::tests::default_for_type_object ... ok
test auto_mock::tests::classify_unknown_module_as_external_other ... ok
test auto_mock::tests::classify_go_stdlib_modules ... ok
test auto_mock::tests::default_mock_for_db_insert ... ok
test analysis_cache::tests::cache_hit_returns_cached_analysis ... ok
test auto_mock::tests::default_mock_for_external_other_uses_type ... ok
test auto_mock::tests::default_mock_for_db_query ... ok
test auto_mock::tests::default_mock_for_fs_exists ... ok
test auto_mock::tests::default_mock_for_fs_read ... ok
test auto_mock::tests::default_mock_for_network ... ok
test auto_mock::tests::default_mock_for_pure_utility_is_passthrough ... ok
test auto_mock::tests::generate_auto_mocks_applies_overrides ... ok
test auto_mock::tests::generate_auto_mocks_respects_scope_passthrough ... ok
test auto_mock::tests::generate_auto_mocks_for_multiple_deps ... ok
test auto_mock::tests::generate_auto_mocks_skips_existing ... ok
test auto_mock::tests::generate_auto_mocks_skips_pure_utilities ... ok
test analysis_cache::tests::clear_removes_all_entries ... ok
test analysis_cache::tests::new_creates_directory_if_missing ... ok
test batch_analyze::tests::empty_function_registry ... ok
test batch_analyze::tests::function_entry_branch_count_matches_branches ... ok
test batch_analyze::tests::function_entry_from_analysis_preserves_fields ... ok
test analysis_cache::tests::lookup_returns_none_for_uncached_file ... ok
test batch_analyze::tests::function_entry_preserves_dependencies ... ok
test batch_analyze::tests::function_entry_unexported_function ... ok
test batch_analyze::tests::function_entry_zero_branches ... ok
test batch_analyze::tests::function_registry_exported_functions ... ok
test batch_analyze::tests::function_registry_from_entries ... ok
test batch_analyze::tests::function_registry_functions_in_file ... ok
test batch_analyze::tests::function_registry_get_by_qualified_name ... ok
test batch_analyze::tests::function_registry_qualified_name_format ... ok
test batch_state::tests::completed_batches_sorted ... ok
test batch_state::tests::cumulative_coverage_pct_computed ... ok
test batch_state::tests::cumulative_coverage_pct_zero_branches ... ok
test analysis_cache::tests::protocol_version_change_invalidates_cache ... ok
test batch_state::tests::format_cumulative_section_includes_key_info ... ok
test batch_state::tests::re_running_same_batch_replaces_previous ... ok
test batch_state::tests::record_batch_accumulates_metrics ... ok
test behavior::tests::all_side_effect_kinds_round_trip ... ok
test analysis_cache::tests::timestamp_fast_path_unchanged_mtime ... ok
test behavior::tests::behavior_map_entries_include_traces_when_available ... ok
test behavior::tests::behavior_coverage_no_match ... ok
test behavior::tests::behavior_coverage_matches_exercised_behaviors ... ok
test behavior::tests::behavior_map_from_exploration_result ... ok
test batch_state::tests::load_missing_returns_none ... ok
test behavior::tests::behavior_map_from_multiple_records_deduplicates ... ok
test behavior::tests::behavior_map_from_single_record ... ok
test behavior::tests::behavior_map_no_trace_when_no_deps ... ok
test behavior::tests::behavior_map_to_mock_config ... ok
test behavior::tests::behavior_map_nondeterministic_fields_round_trip ... ok
test behavior::tests::behavior_map_without_nondeterministic_fields_deserializes ... ok
test behavior::tests::build_dependency_trace_from_execute_result ... ok
test batch_state::tests::round_trip_save_load ... ok
test behavior::tests::call_graph_from_analyses_builds_edges ... ok
test behavior::tests::call_graph_self_recursive_not_rejected_as_cycle ... ok
test behavior::tests::call_graph_mutual_recursion_with_leaf_dependency ... ok
test behavior::tests::call_graph_mutual_recursion_returns_group ... ok
test behavior::tests::call_graph_self_recursive_with_dependency ... ok
