# foreground durations (since 2026-09-04)
family                          n  median_s    p90_s    max_s
cargo test                     71         4      157      611  timeouts=0
git push                       52        80      265      624  timeouts=1
land-work-create-preview       43         3      222      300  timeouts=0
bd show                        40         1        4       35  timeouts=0
land-work-prepare              35         0        2      129  timeouts=0
git push (no-verify)           26         2        7       61  timeouts=0
git commit                     24        60      124      187  timeouts=0
land-work-run-verifier         23        37      257      269  timeouts=0
bd create                      23         0        2        2  timeouts=0
land-work-verify-landing       23         0        1       34  timeouts=0
land-work-verify-lease         21         0        0        2  timeouts=0
bd update                      20         1        5      188  timeouts=0
task affected                  17       123      233      252  timeouts=0
land.py                        14         0        1        6  timeouts=0
bd ready                       13         2        3      123  timeouts=0
land-work-root-hygiene         12         0        0       63  timeouts=0
bd list                        11         2        6       11  timeouts=0
git commit (no-verify)          9         2        5        7  timeouts=0
bd close                        6         0        1        1  timeouts=0
land-work-verifier              5         7       15    11181  timeouts=0
task test-quick                 3       311      311      594  timeouts=0
task docs-smoke                 3         3        3       11  timeouts=0
task check                      3         1        1        2  timeouts=0
task --list                     2         3        2        4  timeouts=0
task parity                     2         0        0        0  timeouts=0
task go:test                    2       303      293      313  timeouts=0
task lint                       2        20       20       20  timeouts=0
task --force                    2       167       32      303  timeouts=0
task core:test-ignored          2       423      358      489  timeouts=0
task rust-fe:build              1         2        2        2  timeouts=0
bd search                       1         1        1        1  timeouts=0
bd dep                          1         7        7        7  timeouts=0
task bench-frontier-report      1         1        1        1  timeouts=0
task test-standard              1        96       96       96  timeouts=0
task docs                       1         2        2        2  timeouts=0
task ts:test                    1       204      204      204  timeouts=0
task go:lint                    1         2        2        2  timeouts=0
task core:clippy                1         2        2        2  timeouts=0
task core:test                  1        65       65       65  timeouts=0

# background durations (launch -> notification)
family                          n  median_s    p90_s    max_s
cargo test                     36        39      409     3754  timeouts=0
land.py                        31       780     1201     1979  timeouts=0
task affected                  20       162      561      825  timeouts=0
git push                       13       308      541      728  timeouts=1
land-work-run-verifier         11       294      418      843  timeouts=0
land-work-create-preview        9       251      301      313  timeouts=0
git commit                      8        76      122      183  timeouts=0
task test-standard              5       142      180      191  timeouts=0
task check                      2        75        4      145  timeouts=0
task smoke                      1        12       12       12  timeouts=0
bd update                       1         1        1        1  timeouts=0
task build                      1        65       65       65  timeouts=0
task parity                     1       119      119      119  timeouts=0
task docs-smoke                 1         2        2        2  timeouts=0
git push (no-verify)            1         2        2        2  timeouts=0
task ts:test                    1       226      226      226  timeouts=0
